,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,10,1,0,0,0,1,1.0,1.0,1.0
0,10,1,0,0,0,2,1.0,1.0,1.0
0,10,1,0,0,0,4,1.0,1.0,1.0
0,10,1,0,0,0,6,1.0,1.0,1.0
0,10,1,0,0,0,8,1.0,1.0,1.0
0,10,1,0,0,0,16,1.0,1.0,1.0
0,10,1,0,0,0,24,1.0,1.0,1.0
0,10,1,0,0,0,32,1.0,1.0,1.0
0,10,1,0,0,0,40,1.0,1.0,1.0
0,10,1,0,0,0,48,1.0,1.0,1.0
0,10,1,0,0,0,56,1.0,1.0,1.0
0,10,1,0,0,0,64,1.0,1.0,1.0
0,10,1,0,0,0,128,1.0,1.0,1.0
0,10,1,0,0,0,192,1.0,1.0,1.0
0,10,1,0,0,0,256,1.0,1.0,1.0
0,10,1,0,0,0,320,1.0,1.0,1.0
0,10,1,0,0,0,384,1.0,1.0,1.0
0,10,1,0,0,0,448,1.0,1.0,1.0
0,10,1,0,0,0,512,1.0,1.0,1.0
0,10,1,0,0,1,3,1.0,1.0,1.0
0,10,1,0,0,1,5,1.0,1.0,1.0
0,10,1,0,0,1,7,1.0,1.0,1.0
0,10,1,0,0,1,9,1.0,1.0,1.0
0,10,1,0,0,1,17,1.0,1.0,1.0
0,10,1,0,0,1,25,1.0,1.0,1.0
0,10,1,0,0,1,33,1.0,1.0,1.0
0,10,1,0,0,1,41,1.0,1.0,1.0
0,10,1,0,0,1,49,1.0,1.0,1.0
0,10,1,0,0,1,57,1.0,1.0,1.0
0,10,1,0,0,1,65,1.0,1.0,1.0
0,10,1,0,0,1,129,1.0,1.0,1.0
0,10,1,0,0,1,193,1.0,1.0,1.0
0,10,1,0,0,1,257,1.0,1.0,1.0
0,10,1,0,0,1,321,1.0,1.0,1.0
0,10,1,0,0,1,385,1.0,1.0,1.0
0,10,1,0,0,1,449,1.0,1.0,1.0
0,10,1,0,0,1,513,1.0,1.0,1.0
0,10,1,0,0,2,3,1.0,1.0,1.0
0,10,1,0,0,2,4,1.0,1.0,1.0
0,10,1,0,0,2,6,1.0,1.0,1.0
0,10,1,0,0,2,10,1.0,1.0,1.0
0,10,1,0,0,2,18,1.0,1.0,1.0
0,10,1,0,0,2,26,1.0,1.0,1.0
0,10,1,0,0,2,34,1.0,1.0,1.0
0,10,1,0,0,2,42,1.0,1.0,1.0
0,10,1,0,0,2,50,1.0,1.0,1.0
0,10,1,0,0,2,58,1.0,1.0,1.0
0,10,1,0,0,2,66,1.0,1.0,1.0
0,10,1,0,0,2,130,1.0,1.0,1.0
0,10,1,0,0,2,194,1.0,1.0,1.0
0,10,1,0,0,2,258,1.0,1.0,1.0
0,10,1,0,0,2,322,1.0,1.0,1.0
0,10,1,0,0,2,386,1.0,1.0,1.0
0,10,1,0,0,2,450,1.0,1.0,1.0
0,10,1,0,0,2,514,1.0,1.0,1.0
0,10,1,0,0,3,5,1.0,1.0,1.0
0,10,1,0,0,3,7,1.0,1.0,1.0
0,10,1,0,0,3,11,1.0,1.0,1.0
0,10,1,0,0,3,19,1.0,1.0,1.0
0,10,1,0,0,3,27,1.0,1.0,1.0
0,10,1,0,0,3,35,1.0,1.0,1.0
0,10,1,0,0,3,43,1.0,1.0,1.0
0,10,1,0,0,3,51,1.0,1.0,1.0
0,10,1,0,0,3,59,1.0,1.0,1.0
0,10,1,0,0,3,67,1.0,1.0,1.0
0,10,1,0,0,3,131,1.0,1.0,1.0
0,10,1,0,0,3,195,1.0,1.0,1.0
0,10,1,0,0,3,259,1.0,1.0,1.0
0,10,1,0,0,3,323,1.0,1.0,1.0
0,10,1,0,0,3,387,1.0,1.0,1.0
0,10,1,0,0,3,451,1.0,1.0,1.0
0,10,1,0,0,3,515,1.0,1.0,1.0
0,10,1,0,0,4,5,1.0,1.0,1.0
0,10,1,0,0,4,6,1.0,1.0,1.0
0,10,1,0,0,4,12,1.0,1.0,1.0
0,10,1,0,0,4,20,1.0,1.0,1.0
0,10,1,0,0,4,28,1.0,1.0,1.0
0,10,1,0,0,4,36,1.0,1.0,1.0
0,10,1,0,0,4,44,1.0,1.0,1.0
0,10,1,0,0,4,52,1.0,1.0,1.0
0,10,1,0,0,4,60,1.0,1.0,1.0
