,t_12,t_23,n_frac_times,t_frac,bank_id,r_first,r_second,s_id,majX,avg_coverage,full_coverage_cells,avg_stability,full_stable_cells
0,0,0,3,0,0,145,673,0,3,50.0,0.0,49.91875,0.0
0,0,0,3,0,1,145,673,0,3,50.0,0.0,49.575,0.0
0,0,0,3,0,2,145,673,0,3,50.0,0.0,49.64375,0.0
0,0,0,3,0,3,145,673,0,3,50.0,0.0,49.75625,0.0
0,0,1,3,0,0,145,673,0,3,50.0,0.0,49.9,0.0
0,0,1,3,0,1,145,673,0,3,50.0,0.0,50.040625,0.0
0,0,1,3,0,2,145,673,0,3,50.0,0.0,49.878125,0.0
0,0,1,3,0,3,145,673,0,3,50.0,0.0,49.8,0.0
0,0,2,3,0,0,145,673,0,3,50.0,0.0,49.95,0.0
0,0,2,3,0,1,145,673,0,3,50.0,0.0,49.471875,0.0
0,0,2,3,0,2,145,673,0,3,50.0,0.0,49.98125,0.0
0,0,2,3,0,3,145,673,0,3,50.0,0.0,49.60625,0.0
0,0,3,3,0,0,145,673,0,3,50.0,0.0,49.903125,0.0
0,0,3,3,0,1,145,673,0,3,50.0,0.0,49.553125,0.0
0,0,3,3,0,2,145,673,0,3,50.0,0.0,49.803125,0.0
0,0,3,3,0,3,145,673,0,3,50.0,0.0,49.80625,0.0
0,1,0,3,0,0,145,673,0,3,68.976339,6.260681,74.227858,0.857544
0,1,0,3,0,1,145,673,0,3,67.747243,4.730225,72.479567,0.325012
0,1,0,3,0,2,145,673,0,3,67.985789,5.122375,73.551138,0.480652
0,1,0,3,0,3,145,673,0,3,68.587494,5.741882,73.801129,0.515747
0,1,1,3,0,0,145,673,0,3,52.180735,0.074768,57.263548,0.032043
0,1,1,3,0,1,145,673,0,3,52.396139,0.024414,57.67516,0.009155
0,1,1,3,0,2,145,673,0,3,52.509562,0.067139,57.856702,0.028992
0,1,1,3,0,3,145,673,0,3,52.579498,0.073242,57.649171,0.022888
0,1,2,3,0,0,145,673,0,3,50.0,0.0,50.00625,0.0
0,1,2,3,0,1,145,673,0,3,50.0,0.0,50.165625,0.0
0,1,2,3,0,2,145,673,0,3,50.0,0.0,49.975,0.0
0,1,2,3,0,3,145,673,0,3,50.0,0.0,50.271875,0.0
0,1,3,3,0,0,145,673,0,3,50.0,0.0,49.665625,0.0
0,1,3,3,0,1,145,673,0,3,50.0,0.0,50.3,0.0
0,1,3,3,0,2,145,673,0,3,50.0,0.0,50.13125,0.0
0,1,3,3,0,3,145,673,0,3,50.0,0.0,49.703125,0.0
0,2,0,3,0,0,145,673,0,3,52.880859,0.158691,58.565321,0.082397
0,2,0,3,0,1,145,673,0,3,53.063202,0.07782,58.551808,0.032043
0,2,0,3,0,2,145,673,0,3,52.701569,0.057983,58.308014,0.035095
0,2,0,3,0,3,145,673,0,3,52.747345,0.082397,57.971864,0.032043
0,2,1,3,0,0,145,673,0,3,50.0,0.0,50.334375,0.0
0,2,1,3,0,1,145,673,0,3,50.0,0.0,49.546875,0.0
0,2,1,3,0,2,145,673,0,3,50.0,0.0,50.565625,0.0
0,2,1,3,0,3,145,673,0,3,50.0,0.0,50.571875,0.0
0,2,2,3,0,0,145,673,0,3,50.0,0.0,49.83125,0.0
0,2,2,3,0,1,145,673,0,3,50.0,0.0,49.65,0.0
0,2,2,3,0,2,145,673,0,3,50.0,0.0,50.290625,0.0
0,2,2,3,0,3,145,673,0,3,50.0,0.0,50.353125,0.0
0,2,3,3,0,0,145,673,0,3,50.0,0.0,50.253125,0.0
0,2,3,3,0,1,145,673,0,3,50.0,0.0,50.4375,0.0
0,2,3,3,0,2,145,673,0,3,50.0,0.0,49.80625,0.0
0,2,3,3,0,3,145,673,0,3,50.0,0.0,49.690625,0.0
0,3,0,3,0,0,145,673,0,3,50.0,0.0,50.228125,0.0
0,3,0,3,0,1,145,673,0,3,50.0,0.0,49.9125,0.0
0,3,0,3,0,2,145,673,0,3,50.0,0.0,49.8875,0.0
0,3,0,3,0,3,145,673,0,3,50.0,0.0,50.003125,0.0
0,3,1,3,0,0,145,673,0,3,50.0,0.0,50.09375,0.0
0,3,1,3,0,1,145,673,0,3,50.0,0.0,50.10625,0.0
0,3,1,3,0,2,145,673,0,3,50.0,0.0,50.05,0.0
0,3,1,3,0,3,145,673,0,3,50.0,0.0,49.66875,0.0
0,3,2,3,0,0,145,673,0,3,50.0,0.0,50.046875,0.0
0,3,2,3,0,1,145,673,0,3,50.0,0.0,50.25,0.0
0,3,2,3,0,2,145,673,0,3,50.0,0.0,50.075,0.0
0,3,2,3,0,3,145,673,0,3,50.0,0.0,49.478125,0.0
0,3,3,3,0,0,145,673,0,3,50.0,0.0,50.065625,0.0
0,3,3,3,0,1,145,673,0,3,50.0,0.0,49.796875,0.0
0,3,3,3,0,2,145,673,0,3,50.0,0.0,50.415625,0.0
0,3,3,3,0,3,145,673,0,3,50.0,0.0,50.14375,0.0
0,0,0,3,0,0,15,35,0,3,50.0,0.0,49.9125,0.0
0,0,0,3,0,1,15,35,0,3,50.0,0.0,49.9625,0.0
0,0,0,3,0,2,15,35,0,3,50.0,0.0,50.690625,0.0
0,0,0,3,0,3,15,35,0,3,50.0,0.0,50.05,0.0
0,0,1,3,0,0,15,35,0,3,50.0,0.0,50.121875,0.0
0,0,1,3,0,1,15,35,0,3,50.0,0.0,49.671875,0.0
0,0,1,3,0,2,15,35,0,3,50.0,0.0,50.146875,0.0
0,0,1,3,0,3,15,35,0,3,50.0,0.0,49.3875,0.0
0,0,2,3,0,0,15,35,0,3,50.0,0.0,49.89375,0.0
0,0,2,3,0,1,15,35,0,3,50.0,0.0,50.053125,0.0
0,0,2,3,0,2,15,35,0,3,50.0,0.0,50.184375,0.0
0,0,2,3,0,3,15,35,0,3,50.0,0.0,49.721875,0.0
0,0,3,3,0,0,15,35,0,3,50.0,0.0,50.390625,0.0
0,0,3,3,0,1,15,35,0,3,50.0,0.0,50.0375,0.0
0,0,3,3,0,2,15,35,0,3,50.0,0.0,50.45,0.0
0,0,3,3,0,3,15,35,0,3,50.0,0.0,50.259375,0.0
0,1,0,3,0,0,15,35,0,3,79.744212,32.43103,81.821788,6.149292
0,1,0,3,0,1,15,35,0,3,77.177429,25.323486,79.946306,3.733826
0,1,0,3,0,2,15,35,0,3,77.649434,25.161743,80.358405,3.704834
0,1,0,3,0,3,15,35,0,3,77.758535,26.014709,80.644756,3.947449
0,1,1,3,0,0,15,35,0,3,68.267568,0.471497,76.702132,0.105286
0,1,1,3,0,1,15,35,0,3,68.453979,0.3479,76.642593,0.07782
0,1,1,3,0,2,15,35,0,3,68.530273,0.430298,76.86158,0.065613
0,1,1,3,0,3,15,35,0,3,68.672943,0.442505,76.727704,0.080872
0,1,2,3,0,0,15,35,0,3,66.666667,0.0,75.178125,0.0
0,1,2,3,0,1,15,35,0,3,66.666667,0.0,75.059375,0.0
0,1,2,3,0,2,15,35,0,3,66.666667,0.0,75.225,0.0
0,1,2,3,0,3,15,35,0,3,66.666667,0.0,74.7125,0.0
0,1,3,3,0,0,15,35,0,3,66.666667,0.0,74.5375,0.0
0,1,3,3,0,1,15,35,0,3,66.666667,0.0,75.11875,0.0
0,1,3,3,0,2,15,35,0,3,66.666667,0.0,75.48125,0.0
0,1,3,3,0,3,15,35,0,3,66.666667,0.0,74.678125,0.0
0,2,0,3,0,0,15,35,0,3,68.893687,1.101685,76.863802,0.166321
0,2,0,3,0,1,15,35,0,3,69.081879,0.75531,77.169562,0.119019
0,2,0,3,0,2,15,35,0,3,68.752035,0.622559,76.47317,0.090027
0,2,0,3,0,3,15,35,0,3,68.730164,0.527954,77.091789,0.099182
0,2,1,3,0,0,15,35,0,3,66.666667,0.0,74.846875,0.0
0,2,1,3,0,1,15,35,0,3,66.666667,0.0,74.684375,0.0
0,2,1,3,0,2,15,35,0,3,66.666667,0.0,74.75,0.0
0,2,1,3,0,3,15,35,0,3,66.666667,0.0,74.653125,0.0
0,2,2,3,0,0,15,35,0,3,66.666667,0.0,75.309375,0.0
0,2,2,3,0,1,15,35,0,3,66.666667,0.0,74.40625,0.0
0,2,2,3,0,2,15,35,0,3,66.666667,0.0,74.971875,0.0
0,2,2,3,0,3,15,35,0,3,66.666667,0.0,75.075,0.0
0,2,3,3,0,0,15,35,0,3,66.666667,0.0,75.190625,0.0
0,2,3,3,0,1,15,35,0,3,66.666667,0.0,74.74375,0.0
0,2,3,3,0,2,15,35,0,3,66.666667,0.0,75.028125,0.0
0,2,3,3,0,3,15,35,0,3,66.666667,0.0,74.884375,0.0
0,3,0,3,0,0,15,35,0,3,66.666667,0.0,75.321875,0.0
0,3,0,3,0,1,15,35,0,3,66.666667,0.0,75.45625,0.0
0,3,0,3,0,2,15,35,0,3,66.666667,0.0,75.09375,0.0
0,3,0,3,0,3,15,35,0,3,66.666667,0.0,75.03125,0.0
0,3,1,3,0,0,15,35,0,3,66.666667,0.0,74.86875,0.0
0,3,1,3,0,1,15,35,0,3,66.666667,0.0,75.03125,0.0
0,3,1,3,0,2,15,35,0,3,66.666667,0.0,75.059375,0.0
0,3,1,3,0,3,15,35,0,3,66.666667,0.0,75.040625,0.0
0,3,2,3,0,0,15,35,0,3,66.666667,0.0,74.778125,0.0
0,3,2,3,0,1,15,35,0,3,66.666667,0.0,75.2125,0.0
0,3,2,3,0,2,15,35,0,3,66.666667,0.0,75.34375,0.0
0,3,2,3,0,3,15,35,0,3,66.666667,0.0,75.2375,0.0
0,3,3,3,0,0,15,35,0,3,66.666667,0.0,74.7,0.0
