,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,632,83,716,32,74,725,"[74, 75, 76, 77, 82, 83, 84, 85, 202, 203, 204, 205, 210, 211, 212, 213, 586, 587, 588, 589, 594, 595, 596, 597, 714, 715, 716, 717, 722, 723, 724, 725]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
1,338,252,591,32,76,767,"[76, 77, 78, 79, 124, 125, 126, 127, 204, 205, 206, 207, 252, 253, 254, 255, 588, 589, 590, 591, 636, 637, 638, 639, 716, 717, 718, 719, 764, 765, 766, 767]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
2,562,21,584,32,8,597,"[8, 9, 12, 13, 16, 17, 20, 21, 72, 73, 76, 77, 80, 81, 84, 85, 520, 521, 524, 525, 528, 529, 532, 533, 584, 585, 588, 589, 592, 593, 596, 597]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
3,484,260,745,32,192,813,"[192, 193, 196, 197, 232, 233, 236, 237, 256, 257, 260, 261, 296, 297, 300, 301, 704, 705, 708, 709, 744, 745, 748, 749, 768, 769, 772, 773, 808, 809, 812, 813]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
4,708,68,777,32,64,781,"[64, 65, 68, 69, 72, 73, 76, 77, 256, 257, 260, 261, 264, 265, 268, 269, 576, 577, 580, 581, 584, 585, 588, 589, 768, 769, 772, 773, 776, 777, 780, 781]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
5,466,161,628,32,96,693,"[96, 97, 100, 101, 112, 113, 116, 117, 160, 161, 164, 165, 176, 177, 180, 181, 608, 609, 612, 613, 624, 625, 628, 629, 672, 673, 676, 677, 688, 689, 692, 693]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
6,404,128,533,32,0,661,"[0, 1, 4, 5, 16, 17, 20, 21, 128, 129, 132, 133, 144, 145, 148, 149, 512, 513, 516, 517, 528, 529, 532, 533, 640, 641, 644, 645, 656, 657, 660, 661]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
7,694,122,817,32,112,827,"[112, 113, 114, 115, 120, 121, 122, 123, 304, 305, 306, 307, 312, 313, 314, 315, 624, 625, 626, 627, 632, 633, 634, 635, 816, 817, 818, 819, 824, 825, 826, 827]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
8,348,164,513,32,0,677,"[0, 1, 4, 5, 32, 33, 36, 37, 128, 129, 132, 133, 160, 161, 164, 165, 512, 513, 516, 517, 544, 545, 548, 549, 640, 641, 644, 645, 672, 673, 676, 677]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
9,596,21,618,32,18,621,"[18, 19, 20, 21, 42, 43, 44, 45, 82, 83, 84, 85, 106, 107, 108, 109, 530, 531, 532, 533, 554, 555, 556, 557, 594, 595, 596, 597, 618, 619, 620, 621]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,3
