,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
19771,127,24,152,2,24,152,"[24, 152]","[1.0, 1.0]",1.0,0,10,0
20027,383,24,408,2,24,408,"[24, 408]","[1.0, 1.0]",1.0,0,10,0
20577,127,25,153,2,25,153,"[25, 153]","[1.0, 1.0]",1.0,0,10,0
20833,383,25,409,2,25,409,"[25, 409]","[1.0, 1.0]",1.0,0,10,0
69275,63,88,152,2,88,152,"[88, 152]","[1.0, 1.0]",1.0,0,10,0
69531,319,88,408,2,88,408,"[88, 408]","[1.0, 1.0]",1.0,0,10,0
70017,63,89,153,2,89,153,"[89, 153]","[1.0, 1.0]",1.0,0,10,0
70273,319,89,409,2,89,409,"[89, 409]","[1.0, 1.0]",1.0,0,10,0
98135,23,128,152,2,128,152,"[128, 152]","[1.0, 1.0]",1.0,0,10,0
98837,23,129,153,2,129,153,"[129, 153]","[1.0, 1.0]",1.0,0,10,0
104409,15,137,153,2,137,153,"[137, 153]","[1.0, 1.0]",1.0,0,10,0
109231,7,144,152,2,144,152,"[144, 152]","[1.0, 1.0]",1.0,0,10,0
114685,1,152,154,2,152,154,"[152, 154]","[1.0, 1.0]",1.0,0,10,0
114687,3,152,156,2,152,156,"[152, 156]","[1.0, 1.0]",1.0,0,10,0
114689,5,152,158,2,152,158,"[152, 158]","[1.0, 1.0]",1.0,0,10,0
114691,7,152,160,2,152,160,"[152, 160]","[1.0, 1.0]",1.0,0,10,0
114699,15,152,168,2,152,168,"[152, 168]","[1.0, 1.0]",1.0,0,10,0
114707,23,152,176,2,152,176,"[152, 176]","[1.0, 1.0]",1.0,0,10,0
114715,31,152,184,2,152,184,"[152, 184]","[1.0, 1.0]",1.0,0,10,0
114747,63,152,216,2,152,216,"[152, 216]","[1.0, 1.0]",1.0,0,10,0
114811,127,152,280,2,152,280,"[152, 280]","[1.0, 1.0]",1.0,0,10,0
114875,191,152,344,2,152,344,"[152, 344]","[1.0, 1.0]",1.0,0,10,0
115003,319,152,472,2,152,472,"[152, 472]","[1.0, 1.0]",1.0,0,10,0
115363,1,153,155,2,153,155,"[153, 155]","[1.0, 1.0]",1.0,0,10,0
115365,3,153,157,2,153,157,"[153, 157]","[1.0, 1.0]",1.0,0,10,0
115367,5,153,159,2,153,159,"[153, 159]","[1.0, 1.0]",1.0,0,10,0
115369,7,153,161,2,153,161,"[153, 161]","[1.0, 1.0]",1.0,0,10,0
115377,15,153,169,2,153,169,"[153, 169]","[1.0, 1.0]",1.0,0,10,0
115385,23,153,177,2,153,177,"[153, 177]","[1.0, 1.0]",1.0,0,10,0
115393,31,153,185,2,153,185,"[153, 185]","[1.0, 1.0]",1.0,0,10,0
115425,63,153,217,2,153,217,"[153, 217]","[1.0, 1.0]",1.0,0,10,0
115489,127,153,281,2,153,281,"[153, 281]","[1.0, 1.0]",1.0,0,10,0
115553,191,153,345,2,153,345,"[153, 345]","[1.0, 1.0]",1.0,0,10,0
115681,319,153,473,2,153,473,"[153, 473]","[1.0, 1.0]",1.0,0,10,0
156251,191,216,408,2,216,408,"[216, 408]","[1.0, 1.0]",1.0,0,10,0
156865,191,217,409,2,217,409,"[217, 409]","[1.0, 1.0]",1.0,0,10,0
193467,127,280,408,2,280,408,"[280, 408]","[1.0, 1.0]",1.0,0,10,0
194017,127,281,409,2,281,409,"[281, 409]","[1.0, 1.0]",1.0,0,10,0
226587,63,344,408,2,344,408,"[344, 408]","[1.0, 1.0]",1.0,0,10,0
227073,63,345,409,2,345,409,"[345, 409]","[1.0, 1.0]",1.0,0,10,0
245207,23,384,408,2,384,408,"[384, 408]","[1.0, 1.0]",1.0,0,10,0
245653,23,385,409,2,385,409,"[385, 409]","[1.0, 1.0]",1.0,0,10,0
248739,15,392,408,2,392,408,"[392, 408]","[1.0, 1.0]",1.0,0,10,0
249177,15,393,409,2,393,409,"[393, 409]","[1.0, 1.0]",1.0,0,10,0
252207,7,400,408,2,400,408,"[400, 408]","[1.0, 1.0]",1.0,0,10,0
252637,7,401,409,2,401,409,"[401, 409]","[1.0, 1.0]",1.0,0,10,0
255613,1,408,410,2,408,410,"[408, 410]","[1.0, 1.0]",1.0,0,10,0
255615,3,408,412,2,408,412,"[408, 412]","[1.0, 1.0]",1.0,0,10,0
255617,5,408,414,2,408,414,"[408, 414]","[1.0, 1.0]",1.0,0,10,0
255619,7,408,416,2,408,416,"[408, 416]","[1.0, 1.0]",1.0,0,10,0
255627,15,408,424,2,408,424,"[408, 424]","[1.0, 1.0]",1.0,0,10,0
255635,23,408,432,2,408,432,"[408, 432]","[1.0, 1.0]",1.0,0,10,0
255643,31,408,440,2,408,440,"[408, 440]","[1.0, 1.0]",1.0,0,10,0
255675,63,408,472,2,408,472,"[408, 472]","[1.0, 1.0]",1.0,0,10,0
256035,1,409,411,2,409,411,"[409, 411]","[1.0, 1.0]",1.0,0,10,0
256037,3,409,413,2,409,413,"[409, 413]","[1.0, 1.0]",1.0,0,10,0
256039,5,409,415,2,409,415,"[409, 415]","[1.0, 1.0]",1.0,0,10,0
256041,7,409,417,2,409,417,"[409, 417]","[1.0, 1.0]",1.0,0,10,0
256049,15,409,425,2,409,425,"[409, 425]","[1.0, 1.0]",1.0,0,10,0
256057,23,409,433,2,409,433,"[409, 433]","[1.0, 1.0]",1.0,0,10,0
256065,31,409,441,2,409,441,"[409, 441]","[1.0, 1.0]",1.0,0,10,0
256097,63,409,473,2,409,473,"[409, 473]","[1.0, 1.0]",1.0,0,10,0
301627,127,536,664,2,536,664,"[536, 664]","[1.0, 1.0]",1.0,0,10,0
301921,127,537,665,2,537,665,"[537, 665]","[1.0, 1.0]",1.0,0,10,0
318363,63,600,664,2,600,664,"[600, 664]","[1.0, 1.0]",1.0,0,10,0
318593,63,601,665,2,601,665,"[601, 665]","[1.0, 1.0]",1.0,0,10,0
326743,23,640,664,2,640,664,"[640, 664]","[1.0, 1.0]",1.0,0,10,0
326933,23,641,665,2,641,665,"[641, 665]","[1.0, 1.0]",1.0,0,10,0
328227,15,648,664,2,648,664,"[648, 664]","[1.0, 1.0]",1.0,0,10,0
328409,15,649,665,2,649,665,"[649, 665]","[1.0, 1.0]",1.0,0,10,0
329647,7,656,664,2,656,664,"[656, 664]","[1.0, 1.0]",1.0,0,10,0
329821,7,657,665,2,657,665,"[657, 665]","[1.0, 1.0]",1.0,0,10,0
331005,1,664,666,2,664,666,"[664, 666]","[1.0, 1.0]",1.0,0,10,0
331007,3,664,668,2,664,668,"[664, 668]","[1.0, 1.0]",1.0,0,10,0
331009,5,664,670,2,664,670,"[664, 670]","[1.0, 1.0]",1.0,0,10,0
331011,7,664,672,2,664,672,"[664, 672]","[1.0, 1.0]",1.0,0,10,0
331019,15,664,680,2,664,680,"[664, 680]","[1.0, 1.0]",1.0,0,10,0
331027,23,664,688,2,664,688,"[664, 688]","[1.0, 1.0]",1.0,0,10,0
331035,31,664,696,2,664,696,"[664, 696]","[1.0, 1.0]",1.0,0,10,0
331067,63,664,728,2,664,728,"[664, 728]","[1.0, 1.0]",1.0,0,10,0
331131,127,664,792,2,664,792,"[664, 792]","[1.0, 1.0]",1.0,0,10,0
331171,1,665,667,2,665,667,"[665, 667]","[1.0, 1.0]",1.0,0,10,0
331173,3,665,669,2,665,669,"[665, 669]","[1.0, 1.0]",1.0,0,10,0
331175,5,665,671,2,665,671,"[665, 671]","[1.0, 1.0]",1.0,0,10,0
331177,7,665,673,2,665,673,"[665, 673]","[1.0, 1.0]",1.0,0,10,0
331185,15,665,681,2,665,681,"[665, 681]","[1.0, 1.0]",1.0,0,10,0
331193,23,665,689,2,665,689,"[665, 689]","[1.0, 1.0]",1.0,0,10,0
331201,31,665,697,2,665,697,"[665, 697]","[1.0, 1.0]",1.0,0,10,0
331233,63,665,729,2,665,729,"[665, 729]","[1.0, 1.0]",1.0,0,10,0
331297,127,665,793,2,665,793,"[665, 793]","[1.0, 1.0]",1.0,0,10,0
448580,15,136,152,2,136,152,"[136, 152]","[1.0, 1.0]",1.0,0,10,1
454782,7,145,153,2,145,153,"[145, 153]","[1.0, 1.0]",1.0,0,10,1
