,t_12,t_23,n_frac_times,t_frac,bank_id,r_first,r_second,s_id,majX,avg_coverage,full_coverage_cells,avg_stability,full_stable_cells
0,2,2,3,0,0,420,762,0,9,63.529412,0.0,62.03125,0.0
0,2,2,3,0,0,425,547,0,9,63.529412,0.0,65.21875,0.0
0,2,2,3,0,0,360,764,0,9,63.529412,0.0,64.5,0.0
0,2,2,3,0,0,354,549,0,9,63.529412,0.0,64.15625,0.0
0,2,2,3,0,0,460,541,0,9,63.529412,0.0,64.0,0.0
0,2,2,3,0,0,386,568,0,9,63.529412,0.0,63.84375,0.0
0,2,2,3,0,0,471,645,0,9,63.529412,0.0,62.0625,0.0
0,2,2,3,0,0,443,605,0,9,63.529412,0.0,62.59375,0.0
0,2,2,3,0,0,489,725,0,9,63.529412,0.0,63.71875,0.0
0,2,2,3,0,0,382,714,0,9,63.529412,0.0,62.0,0.0
0,2,2,3,0,0,445,735,0,9,63.529412,0.0,62.5,0.0
0,2,2,3,0,0,507,578,0,9,63.529412,0.0,62.375,0.0
0,2,2,3,0,0,320,826,0,9,63.529412,0.0,65.375,0.0
0,2,2,3,0,0,408,570,0,9,63.529412,0.0,63.96875,0.0
0,2,2,3,0,0,415,565,0,9,63.529412,0.0,63.9375,0.0
0,2,2,3,0,0,510,666,0,9,63.529412,0.0,62.84375,0.0
0,2,2,3,0,0,323,708,0,9,63.529412,0.0,63.8125,0.0
0,2,2,3,0,0,443,828,0,9,63.529412,0.0,63.75,0.0
0,2,2,3,0,0,478,591,0,9,63.529412,0.0,64.21875,0.0
0,2,2,3,0,0,495,680,0,9,63.529412,0.0,65.28125,0.0
0,2,2,3,0,0,402,627,0,9,63.529412,0.0,63.5625,0.0
0,2,2,3,0,0,355,525,0,9,63.529412,0.0,63.3125,0.0
0,2,2,3,0,0,416,534,0,9,63.529412,0.0,63.375,0.0
0,2,2,3,0,0,323,753,0,9,63.529412,0.0,63.53125,0.0
0,2,2,3,0,0,412,608,0,9,63.529412,0.0,62.53125,0.0
0,2,2,3,0,0,416,566,0,9,63.529412,0.0,63.6875,0.0
0,2,2,3,0,0,468,702,0,9,63.529412,0.0,63.65625,0.0
0,2,2,3,0,0,368,809,0,9,63.529412,0.0,63.1875,0.0
0,2,2,3,0,0,454,794,0,9,63.529412,0.0,64.75,0.0
0,2,2,3,0,0,470,738,0,9,63.529412,0.0,63.84375,0.0
0,2,2,3,0,0,418,760,0,9,63.529412,0.0,63.6875,0.0
0,2,2,3,0,0,413,553,0,9,63.529412,0.0,64.0,0.0
