,t_12,t_23,n_frac_times,t_frac,bank_id,r_first,r_second,s_id,majX,avg_coverage,full_coverage_cells,avg_stability,full_stable_cells
0,0,0,3,0,0,458,514,0,5,50.0,0.0,50.459375,0.0
0,0,1,3,0,0,458,514,0,5,50.0,0.0,50.2625,0.0
0,0,2,3,0,0,458,514,0,5,50.0,0.0,49.884375,0.0
0,0,3,3,0,0,458,514,0,5,50.0,0.0,49.703125,0.0
0,1,0,3,0,0,458,514,0,5,82.370046,23.005676,80.842924,5.438232
0,1,1,3,0,0,458,514,0,5,73.978424,1.933289,75.871614,0.238037
0,1,2,3,0,0,458,514,0,5,66.666667,0.0,69.0125,0.0
0,1,3,3,0,0,458,514,0,5,66.666667,0.0,69.103125,0.0
0,2,0,3,0,0,458,514,0,5,75.72581,3.50647,77.330054,0.569153
0,2,1,3,0,0,458,514,0,5,66.666667,0.0,68.28125,0.0
0,2,2,3,0,0,458,514,0,5,66.666667,0.0,68.575,0.0
0,2,3,3,0,0,458,514,0,5,66.666667,0.0,69.10625,0.0
0,3,0,3,0,0,458,514,0,5,66.666667,0.0,68.478438,0.0
0,3,1,3,0,0,458,514,0,5,66.666667,0.0,68.8125,0.0
0,3,2,3,0,0,458,514,0,5,66.666667,0.0,69.11875,0.0
0,3,3,3,0,0,458,514,0,5,66.666667,0.0,68.5375,0.0
0,0,0,3,0,0,402,528,0,5,50.0,0.0,50.234375,0.0
0,0,1,3,0,0,402,528,0,5,50.0,0.0,50.46875,0.0
0,0,2,3,0,0,402,528,0,5,50.0,0.0,49.8375,0.0
0,0,3,3,0,0,402,528,0,5,50.0,0.0,49.815625,0.0
0,1,0,3,0,0,402,528,0,5,85.263011,12.487793,83.995772,1.620483
0,1,1,3,0,0,402,528,0,5,71.390177,0.0,73.506487,0.0
0,1,2,3,0,0,402,528,0,5,66.666667,0.0,68.828125,0.0
0,1,3,3,0,0,402,528,0,5,66.666667,0.0,68.509375,0.0
0,2,0,3,0,0,402,528,0,5,72.647959,0.006104,74.912256,0.0
0,2,1,3,0,0,402,528,0,5,66.666667,0.0,68.759375,0.0
0,2,2,3,0,0,402,528,0,5,66.666667,0.0,68.646875,0.0
0,2,3,3,0,0,402,528,0,5,66.666667,0.0,69.065625,0.0
0,3,0,3,0,0,402,528,0,5,66.666667,0.0,68.790625,0.0
0,3,1,3,0,0,402,528,0,5,66.666667,0.0,68.465625,0.0
0,3,2,3,0,0,402,528,0,5,66.666667,0.0,68.559375,0.0
0,3,3,3,0,0,402,528,0,5,66.666667,0.0,69.059375,0.0
0,0,0,3,0,0,385,519,0,5,50.0,0.0,49.934375,0.0
0,0,1,3,0,0,385,519,0,5,50.0,0.0,50.61875,0.0
0,0,2,3,0,0,385,519,0,5,50.0,0.0,50.009375,0.0
0,0,3,3,0,0,385,519,0,5,50.0,0.0,49.953125,0.0
0,1,0,3,0,0,385,519,0,5,83.346914,0.976562,82.690378,0.053406
0,1,1,3,0,0,385,519,0,5,68.800964,0.0,70.984677,0.0
0,1,2,3,0,0,385,519,0,5,66.666667,0.0,68.7125,0.0
0,1,3,3,0,0,385,519,0,5,66.666667,0.0,68.803125,0.0
0,2,0,3,0,0,385,519,0,5,69.819794,0.0,71.958688,0.0
0,2,1,3,0,0,385,519,0,5,66.666667,0.0,68.9,0.0
0,2,2,3,0,0,385,519,0,5,66.666667,0.0,68.434375,0.0
0,2,3,3,0,0,385,519,0,5,66.666667,0.0,68.678125,0.0
0,3,0,3,0,0,385,519,0,5,66.666667,0.0,68.646875,0.0
0,3,1,3,0,0,385,519,0,5,66.666667,0.0,69.2125,0.0
0,3,2,3,0,0,385,519,0,5,66.666667,0.0,69.15625,0.0
0,3,3,3,0,0,385,519,0,5,66.666667,0.0,68.671875,0.0
0,0,0,3,0,0,348,764,0,5,50.0,0.0,50.03125,0.0
0,0,1,3,0,0,348,764,0,5,50.0,0.0,49.4875,0.0
0,0,2,3,0,0,348,764,0,5,50.0,0.0,49.753125,0.0
0,0,3,3,0,0,348,764,0,5,50.0,0.0,50.059375,0.0
0,1,0,3,0,0,348,764,0,5,83.755697,13.33313,82.007892,0.250244
0,1,1,3,0,0,348,764,0,5,72.541402,0.569153,74.756169,0.015259
0,1,2,3,0,0,348,764,0,5,66.666667,0.0,69.275,0.0
0,1,3,3,0,0,348,764,0,5,66.666667,0.0,68.690625,0.0
0,2,0,3,0,0,348,764,0,5,74.170532,1.159668,75.786069,0.045776
0,2,1,3,0,0,348,764,0,5,66.666667,0.0,68.459375,0.0
0,2,2,3,0,0,348,764,0,5,66.666667,0.0,68.6625,0.0
0,2,3,3,0,0,348,764,0,5,66.666667,0.0,68.778125,0.0
0,3,0,3,0,0,348,764,0,5,66.666667,0.0,68.803125,0.0
0,3,1,3,0,0,348,764,0,5,66.666667,0.0,68.7,0.0
0,3,2,3,0,0,348,764,0,5,66.666667,0.0,68.703125,0.0
0,3,3,3,0,0,348,764,0,5,66.666667,0.0,68.796875,0.0
0,0,0,3,0,0,400,672,0,5,50.0,0.0,49.946875,0.0
0,0,1,3,0,0,400,672,0,5,50.0,0.0,49.46875,0.0
0,0,2,3,0,0,400,672,0,5,50.0,0.0,49.803125,0.0
0,0,3,3,0,0,400,672,0,5,50.0,0.0,49.690625,0.0
0,1,0,3,0,0,400,672,0,5,84.085642,16.262817,82.363152,1.347351
0,1,1,3,0,0,400,672,0,5,71.951548,0.497437,73.885239,0.030518
0,1,2,3,0,0,400,672,0,5,66.666667,0.0,68.5875,0.0
0,1,3,3,0,0,400,672,0,5,66.666667,0.0,69.03125,0.0
0,2,0,3,0,0,400,672,0,5,73.55545,1.325989,75.418402,0.090027
0,2,1,3,0,0,400,672,0,5,66.666667,0.0,68.7625,0.0
0,2,2,3,0,0,400,672,0,5,66.666667,0.0,68.875,0.0
0,2,3,3,0,0,400,672,0,5,66.666667,0.0,68.596875,0.0
0,3,0,3,0,0,400,672,0,5,66.666667,0.0,68.878125,0.0
0,3,1,3,0,0,400,672,0,5,66.666667,0.0,69.009375,0.0
0,3,2,3,0,0,400,672,0,5,66.666667,0.0,68.66875,0.0
0,3,3,3,0,0,400,672,0,5,66.666667,0.0,68.859375,0.0
0,0,0,3,0,0,510,639,0,5,50.0,0.0,50.128125,0.0
0,0,1,3,0,0,510,639,0,5,50.0,0.0,50.121875,0.0
0,0,2,3,0,0,510,639,0,5,50.0,0.0,49.90625,0.0
0,0,3,3,0,0,510,639,0,5,50.0,0.0,50.134375,0.0
0,1,0,3,0,0,510,639,0,5,77.597555,1.031494,76.885402,0.076294
0,1,1,3,0,0,510,639,0,5,71.257172,0.0,73.442783,0.0
0,1,2,3,0,0,510,639,0,5,66.666667,0.0,69.05,0.0
0,1,3,3,0,0,510,639,0,5,66.666667,0.0,68.878125,0.0
0,2,0,3,0,0,510,639,0,5,73.453725,0.001526,75.910957,0.0
0,2,1,3,0,0,510,639,0,5,66.666667,0.0,68.91875,0.0
0,2,2,3,0,0,510,639,0,5,66.666667,0.0,69.06875,0.0
0,2,3,3,0,0,510,639,0,5,66.666667,0.0,68.81875,0.0
0,3,0,3,0,0,510,639,0,5,66.666667,0.0,68.7875,0.0
0,3,1,3,0,0,510,639,0,5,66.666667,0.0,68.621875,0.0
0,3,2,3,0,0,510,639,0,5,66.666667,0.0,68.8625,0.0
0,3,3,3,0,0,510,639,0,5,66.666667,0.0,68.75,0.0
0,0,0,3,0,0,360,824,0,5,50.0,0.0,49.678125,0.0
0,0,1,3,0,0,360,824,0,5,50.0,0.0,50.215625,0.0
0,0,2,3,0,0,360,824,0,5,50.0,0.0,50.053125,0.0
0,0,3,3,0,0,360,824,0,5,50.0,0.0,50.159375,0.0
0,1,0,3,0,0,360,824,0,5,84.873759,13.911438,83.028673,0.154114
0,1,1,3,0,0,360,824,0,5,72.1934,0.236511,74.224553,0.006104
0,1,2,3,0,0,360,824,0,5,66.666667,0.0,68.371875,0.0
0,1,3,3,0,0,360,824,0,5,66.666667,0.0,68.55625,0.0
0,2,0,3,0,0,360,824,0,5,73.670909,0.759888,75.194193,0.010681
0,2,1,3,0,0,360,824,0,5,66.666667,0.0,68.1,0.0
0,2,2,3,0,0,360,824,0,5,66.666667,0.0,68.84375,0.0
0,2,3,3,0,0,360,824,0,5,66.666667,0.0,68.40625,0.0
0,3,0,3,0,0,360,824,0,5,66.666667,0.0,68.650003,0.0
0,3,1,3,0,0,360,824,0,5,66.666667,0.0,68.96875,0.0
0,3,2,3,0,0,360,824,0,5,66.666667,0.0,68.84375,0.0
0,3,3,3,0,0,360,824,0,5,66.666667,0.0,68.678125,0.0
0,0,0,3,0,0,424,768,0,5,50.0,0.0,49.759375,0.0
0,0,1,3,0,0,424,768,0,5,50.0,0.0,49.884375,0.0
0,0,2,3,0,0,424,768,0,5,50.0,0.0,50.3,0.0
0,0,3,3,0,0,424,768,0,5,50.0,0.0,49.90625,0.0
0,1,0,3,0,0,424,768,0,5,84.580688,14.6698,82.591209,0.224304
0,1,1,3,0,0,424,768,0,5,72.46877,0.450134,74.760342,0.007629
0,1,2,3,0,0,424,768,0,5,66.666667,0.0,69.403125,0.0
0,1,3,3,0,0,424,768,0,5,66.666667,0.0,68.784375,0.0
0,2,0,3,0,0,424,768,0,5,74.040476,1.046753,75.924713,0.02594
0,2,1,3,0,0,424,768,0,5,66.666667,0.0,69.146875,0.0
0,2,2,3,0,0,424,768,0,5,66.666667,0.0,68.775,0.0
0,2,3,3,0,0,424,768,0,5,66.666667,0.0,68.653125,0.0
0,3,0,3,0,0,424,768,0,5,66.666667,0.0,68.621875,0.0
0,3,1,3,0,0,424,768,0,5,66.666667,0.0,68.759375,0.0
0,3,2,3,0,0,424,768,0,5,66.666667,0.0,68.415625,0.0
0,3,3,3,0,0,424,768,0,5,66.666667,0.0,69.18125,0.0
0,0,0,3,0,0,334,606,0,5,50.0,0.0,50.06875,0.0
0,0,1,3,0,0,334,606,0,5,50.0,0.0,49.9625,0.0
0,0,2,3,0,0,334,606,0,5,50.0,0.0,49.65,0.0
0,0,3,3,0,0,334,606,0,5,50.0,0.0,49.71875,0.0
0,1,0,3,0,0,334,606,0,5,82.096354,14.689636,80.529289,1.062012
0,1,1,3,0,0,334,606,0,5,72.183482,0.476074,74.382515,0.027466
0,1,2,3,0,0,334,606,0,5,66.666667,0.0,68.59375,0.0
0,1,3,3,0,0,334,606,0,5,66.666667,0.0,68.825,0.0
0,2,0,3,0,0,334,606,0,5,73.766734,1.081848,75.418321,0.088501
0,2,1,3,0,0,334,606,0,5,66.666667,0.0,68.8375,0.0
0,2,2,3,0,0,334,606,0,5,66.666667,0.0,68.853125,0.0
0,2,3,3,0,0,334,606,0,5,66.666667,0.0,68.5,0.0
0,3,0,3,0,0,334,606,0,5,66.666667,0.0,68.534377,0.0
0,3,1,3,0,0,334,606,0,5,66.666667,0.0,68.525,0.0
0,3,2,3,0,0,334,606,0,5,66.666667,0.0,68.115625,0.0
0,3,3,3,0,0,334,606,0,5,66.666667,0.0,68.9375,0.0
0,0,0,3,0,0,468,764,0,5,50.0,0.0,50.478125,0.0
0,0,1,3,0,0,468,764,0,5,50.0,0.0,49.803125,0.0
0,0,2,3,0,0,468,764,0,5,50.0,0.0,49.7625,0.0
0,0,3,3,0,0,468,764,0,5,50.0,0.0,49.415625,0.0
0,1,0,3,0,0,468,764,0,5,83.544006,15.722656,81.648482,0.865173
0,1,1,3,0,0,468,764,0,5,72.519887,1.138306,74.302913,0.054932
0,1,2,3,0,0,468,764,0,5,66.666667,0.0,68.984375,0.0
0,1,3,3,0,0,468,764,0,5,66.666667,0.0,68.71875,0.0
0,2,0,3,0,0,468,764,0,5,74.164073,2.293396,76.009229,0.158691
0,2,1,3,0,0,468,764,0,5,66.666667,0.0,68.79375,0.0
0,2,2,3,0,0,468,764,0,5,66.666667,0.0,68.6625,0.0
0,2,3,3,0,0,468,764,0,5,66.666667,0.0,68.646875,0.0
0,3,0,3,0,0,468,764,0,5,66.666667,0.0,68.515625,0.0
0,3,1,3,0,0,468,764,0,5,66.666667,0.0,68.746875,0.0
0,3,2,3,0,0,468,764,0,5,66.666667,0.0,68.5125,0.0
0,3,3,3,0,0,468,764,0,5,66.666667,0.0,68.70625,0.0
0,0,0,3,0,0,464,657,0,5,50.0,0.0,50.190625,0.0
0,0,1,3,0,0,464,657,0,5,50.0,0.0,50.01875,0.0
0,0,2,3,0,0,464,657,0,5,50.0,0.0,50.225,0.0
0,0,3,3,0,0,464,657,0,5,50.0,0.0,50.49375,0.0
0,1,0,3,0,0,464,657,0,5,79.162903,1.065063,77.916432,0.088501
0,1,1,3,0,0,464,657,0,5,70.360107,0.0,72.32961,0.0
0,1,2,3,0,0,464,657,0,5,66.666667,0.0,69.30625,0.0
0,1,3,3,0,0,464,657,0,5,66.666667,0.0,69.25625,0.0
0,2,0,3,0,0,464,657,0,5,72.405904,0.0,74.615346,0.0
0,2,1,3,0,0,464,657,0,5,66.666667,0.0,68.753125,0.0
0,2,2,3,0,0,464,657,0,5,66.666667,0.0,68.69375,0.0
0,2,3,3,0,0,464,657,0,5,66.666667,0.0,68.296875,0.0
0,3,0,3,0,0,464,657,0,5,66.666667,0.0,68.796875,0.0
0,3,1,3,0,0,464,657,0,5,66.666667,0.0,68.81875,0.0
0,3,2,3,0,0,464,657,0,5,66.666667,0.0,68.465625,0.0
0,3,3,3,0,0,464,657,0,5,66.666667,0.0,68.490625,0.0
0,0,0,3,0,0,506,642,0,5,50.0,0.0,50.215625,0.0
0,0,1,3,0,0,506,642,0,5,50.0,0.0,49.996875,0.0
0,0,2,3,0,0,506,642,0,5,50.0,0.0,50.503125,0.0
0,0,3,3,0,0,506,642,0,5,50.0,0.0,49.903125,0.0
0,1,0,3,0,0,506,642,0,5,82.365011,15.362549,80.532132,1.095581
0,1,1,3,0,0,506,642,0,5,73.081207,1.25885,74.796634,0.048828
0,1,2,3,0,0,506,642,0,5,66.666667,0.0,69.146875,0.0
0,1,3,3,0,0,506,642,0,5,66.666667,0.0,68.7,0.0
0,2,0,3,0,0,506,642,0,5,74.829712,2.583313,76.536986,0.157166
0,2,1,3,0,0,506,642,0,5,66.666667,0.0,69.1,0.0
0,2,2,3,0,0,506,642,0,5,66.666667,0.0,68.325,0.0
0,2,3,3,0,0,506,642,0,5,66.666667,0.0,69.05,0.0
0,3,0,3,0,0,506,642,0,5,66.666667,0.0,69.30625,0.0
0,3,1,3,0,0,506,642,0,5,66.666667,0.0,68.915625,0.0
0,3,2,3,0,0,506,642,0,5,66.666667,0.0,68.825,0.0
0,3,3,3,0,0,506,642,0,5,66.666667,0.0,68.984375,0.0
0,0,0,3,0,0,355,603,0,5,50.0,0.0,49.90625,0.0
0,0,1,3,0,0,355,603,0,5,50.0,0.0,50.25,0.0
0,0,2,3,0,0,355,603,0,5,50.0,0.0,50.215625,0.0
0,0,3,3,0,0,355,603,0,5,50.0,0.0,49.9375,0.0
0,1,0,3,0,0,355,603,0,5,85.906067,20.475769,84.001724,2.003479
0,1,1,3,0,0,355,603,0,5,71.88619,0.363159,73.675159,0.007629
0,1,2,3,0,0,355,603,0,5,66.666667,0.0,68.728125,0.0
0,1,3,3,0,0,355,603,0,5,66.666667,0.0,68.85,0.0
0,2,0,3,0,0,355,603,0,5,73.538462,1.313782,75.758865,0.080872
0,2,1,3,0,0,355,603,0,5,66.666667,0.0,68.8125,0.0
0,2,2,3,0,0,355,603,0,5,66.666667,0.0,68.4375,0.0
0,2,3,3,0,0,355,603,0,5,66.666667,0.0,68.096875,0.0
0,3,0,3,0,0,355,603,0,5,66.666667,0.0,68.74375,0.0
0,3,1,3,0,0,355,603,0,5,66.666667,0.0,69.19375,0.0
0,3,2,3,0,0,355,603,0,5,66.666667,0.0,68.684375,0.0
0,3,3,3,0,0,355,603,0,5,66.666667,0.0,68.69375,0.0
0,0,0,3,0,0,390,734,0,5,50.0,0.0,49.934375,0.0
0,0,1,3,0,0,390,734,0,5,50.0,0.0,49.96875,0.0
0,0,2,3,0,0,390,734,0,5,50.0,0.0,49.76875,0.0
0,0,3,3,0,0,390,734,0,5,50.0,0.0,50.065625,0.0
0,1,0,3,0,0,390,734,0,5,82.477214,12.963867,80.734302,0.360107
0,1,1,3,0,0,390,734,0,5,72.59257,0.805664,74.46183,0.028992
0,1,2,3,0,0,390,734,0,5,66.666667,0.0,68.696875,0.0
0,1,3,3,0,0,390,734,0,5,66.666667,0.0,68.646875,0.0
0,2,0,3,0,0,390,734,0,5,74.254608,1.652527,75.863141,0.099182
0,2,1,3,0,0,390,734,0,5,66.666667,0.0,68.68125,0.0
0,2,2,3,0,0,390,734,0,5,66.666667,0.0,68.675,0.0
0,2,3,3,0,0,390,734,0,5,66.666667,0.0,68.853125,0.0
0,3,0,3,0,0,390,734,0,5,66.666667,0.0,68.25,0.0
0,3,1,3,0,0,390,734,0,5,66.666667,0.0,68.75625,0.0
0,3,2,3,0,0,390,734,0,5,66.666667,0.0,67.934375,0.0
0,3,3,3,0,0,390,734,0,5,66.666667,0.0,68.690625,0.0
0,0,0,3,0,0,331,579,0,5,50.0,0.0,50.384375,0.0
0,0,1,3,0,0,331,579,0,5,50.0,0.0,50.21875,0.0
0,0,2,3,0,0,331,579,0,5,50.0,0.0,49.878125,0.0
0,0,3,3,0,0,331,579,0,5,50.0,0.0,49.7125,0.0
0,1,0,3,0,0,331,579,0,5,83.946025,19.314575,82.160007,1.361084
0,1,1,3,0,0,331,579,0,5,72.772166,0.646973,75.068402,0.024414
0,1,2,3,0,0,331,579,0,5,66.666667,0.0,68.765625,0.0
0,1,3,3,0,0,331,579,0,5,66.666667,0.0,68.903125,0.0
0,2,0,3,0,0,331,579,0,5,74.492238,1.905823,76.289548,0.120544
0,2,1,3,0,0,331,579,0,5,66.666667,0.0,69.2,0.0
0,2,2,3,0,0,331,579,0,5,66.666667,0.0,68.653125,0.0
0,2,3,3,0,0,331,579,0,5,66.666667,0.0,68.953125,0.0
0,3,0,3,0,0,331,579,0,5,66.666667,0.0,68.68125,0.0
0,3,1,3,0,0,331,579,0,5,66.666667,0.0,68.703125,0.0
0,3,2,3,0,0,331,579,0,5,66.666667,0.0,68.953125,0.0
0,3,3,3,0,0,331,579,0,5,66.666667,0.0,69.3875,0.0
0,0,0,3,0,0,443,795,0,5,50.0,0.0,50.19375,0.0
0,0,1,3,0,0,443,795,0,5,50.0,0.0,49.840625,0.0
