,t_12,t_23,n_frac_times,t_frac,bank_id,r_first,r_second,s_id,majX,avg_coverage,full_coverage_cells,avg_stability,full_stable_cells
0,0,0,3,0,0,217,661,0,3,50.0,0.0,49.646875,0.0
0,0,1,3,0,0,217,661,0,3,50.0,0.0,49.671875,0.0
0,0,2,3,0,0,217,661,0,3,50.0,0.0,49.75,0.0
0,0,3,3,0,0,217,661,0,3,50.0,0.0,49.940625,0.0
0,1,0,3,0,0,217,661,0,3,92.510478,75.292969,90.674742,41.981506
0,1,1,3,0,0,217,661,0,3,72.727712,3.585815,78.486276,0.18158
0,1,2,3,0,0,217,661,0,3,66.666667,0.0,75.215625,0.0
0,1,3,3,0,0,217,661,0,3,66.666667,0.0,75.028125,0.0
0,2,0,3,0,0,217,661,0,3,73.874156,5.62439,79.127565,0.309753
0,2,1,3,0,0,217,661,0,3,66.666667,0.0,74.79375,0.0
0,2,2,3,0,0,217,661,0,3,66.666667,0.0,74.890625,0.0
0,2,3,3,0,0,217,661,0,3,66.666667,0.0,75.2875,0.0
0,3,0,3,0,0,217,661,0,3,66.666667,0.0,75.234375,0.0
0,3,1,3,0,0,217,661,0,3,66.666667,0.0,75.2375,0.0
0,3,2,3,0,0,217,661,0,3,66.666667,0.0,74.878125,0.0
0,3,3,3,0,0,217,661,0,3,66.666667,0.0,74.75625,0.0
0,0,0,3,0,0,31,593,0,3,50.0,0.0,50.046875,0.0
0,0,1,3,0,0,31,593,0,3,50.0,0.0,49.596875,0.0
0,0,2,3,0,0,31,593,0,3,50.0,0.0,50.028125,0.0
0,0,3,3,0,0,31,593,0,3,50.0,0.0,49.559375,0.0
0,1,0,3,0,0,31,593,0,3,94.983419,77.166748,93.748163,47.436523
0,1,1,3,0,0,31,593,0,3,74.095917,3.807068,80.062549,0.27771
0,1,2,3,0,0,31,593,0,3,66.666667,0.0,74.4875,0.0
0,1,3,3,0,0,31,593,0,3,66.666667,0.0,75.103125,0.0
0,2,0,3,0,0,31,593,0,3,75.525665,5.223083,80.747841,0.479126
0,2,1,3,0,0,31,593,0,3,66.666667,0.0,74.865625,0.0
0,2,2,3,0,0,31,593,0,3,66.666667,0.0,75.33125,0.0
0,2,3,3,0,0,31,593,0,3,66.666667,0.0,74.915625,0.0
0,3,0,3,0,0,31,593,0,3,66.666667,0.0,74.790625,0.0
0,3,1,3,0,0,31,593,0,3,66.666667,0.0,75.4875,0.0
0,3,2,3,0,0,31,593,0,3,66.666667,0.0,74.8875,0.0
0,3,3,3,0,0,31,593,0,3,66.666667,0.0,75.14375,0.0
