,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,333,436,770,12,258,820,"[258, 260, 306, 308, 386, 388, 434, 436, 770, 772, 818, 820]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
1,125,409,535,12,17,543,"[17, 23, 25, 31, 401, 407, 409, 415, 529, 535, 537, 543]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
2,168,368,537,12,24,561,"[24, 25, 48, 49, 344, 345, 368, 369, 536, 537, 560, 561]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
3,334,391,726,12,198,727,"[198, 199, 214, 215, 390, 391, 406, 407, 710, 711, 726, 727]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
4,97,475,573,12,27,573,"[27, 29, 59, 61, 475, 477, 507, 509, 539, 541, 571, 573]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
5,425,329,755,12,201,755,"[201, 203, 241, 243, 329, 331, 369, 371, 713, 715, 753, 755]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
6,201,449,651,12,129,651,"[129, 131, 137, 139, 449, 451, 457, 459, 641, 643, 649, 651]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
7,94,487,582,12,70,615,"[70, 71, 102, 103, 454, 455, 486, 487, 582, 583, 614, 615]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
8,142,399,542,12,14,543,"[14, 15, 30, 31, 398, 399, 414, 415, 526, 527, 542, 543]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
9,347,334,682,12,138,686,"[138, 142, 170, 174, 330, 334, 362, 366, 650, 654, 682, 686]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
10,291,438,730,12,218,758,"[218, 222, 242, 246, 410, 414, 434, 438, 730, 734, 754, 758]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
11,314,349,664,12,152,669,"[152, 153, 156, 157, 344, 345, 348, 349, 664, 665, 668, 669]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
12,386,379,766,12,250,767,"[250, 251, 254, 255, 378, 379, 382, 383, 762, 763, 766, 767]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
13,171,362,534,12,18,558,"[18, 22, 42, 46, 338, 342, 362, 366, 530, 534, 554, 558]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
14,171,356,528,12,16,548,"[16, 20, 32, 36, 336, 340, 352, 356, 528, 532, 544, 548]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
