,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,517,113,631,4,113,631,"[113, 119, 625, 631]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
1,257,172,430,4,172,430,"[172, 174, 428, 430]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
2,128,4,133,4,4,133,"[4, 5, 132, 133]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
3,95,73,169,4,73,169,"[73, 105, 137, 169]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
4,22,201,224,4,200,225,"[200, 201, 224, 225]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
5,54,773,828,4,772,829,"[772, 773, 828, 829]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
6,159,26,186,4,26,186,"[26, 58, 154, 186]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
7,507,229,737,4,225,741,"[225, 229, 737, 741]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
8,359,16,376,4,16,376,"[16, 56, 336, 376]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
9,187,166,354,4,162,358,"[162, 166, 354, 358]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
10,119,263,383,4,263,383,"[263, 319, 327, 383]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
11,123,29,153,4,25,157,"[25, 29, 153, 157]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
12,311,2,314,4,2,314,"[2, 58, 258, 314]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
13,79,742,822,4,742,822,"[742, 758, 806, 822]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
14,111,49,161,4,33,177,"[33, 49, 161, 177]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
15,199,6,206,4,6,206,"[6, 14, 198, 206]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
16,199,589,789,4,589,789,"[589, 597, 781, 789]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
17,251,205,457,4,201,461,"[201, 205, 457, 461]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
18,325,88,414,4,88,414,"[88, 94, 408, 414]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
19,131,82,214,4,82,214,"[82, 86, 210, 214]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
20,11,204,216,4,200,220,"[200, 204, 216, 220]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
21,379,15,395,4,11,399,"[11, 15, 395, 399]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
22,123,84,208,4,80,212,"[80, 84, 208, 212]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
23,6,35,42,4,34,43,"[34, 35, 42, 43]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
24,17,708,726,4,708,726,"[708, 710, 724, 726]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
25,195,512,708,4,512,708,"[512, 516, 704, 708]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
26,279,1,281,4,1,281,"[1, 25, 257, 281]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
27,21,804,826,4,802,828,"[802, 804, 826, 828]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
28,61,359,421,4,357,423,"[357, 359, 421, 423]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
29,391,19,411,4,19,411,"[19, 27, 403, 411]","[1.0, 1.0, 1.0, 1.0]",1.0,0,2,1
