,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,59,228,288,4,224,292,"[224, 228, 288, 292]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
1,249,158,408,4,152,414,"[152, 158, 408, 414]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
2,5,663,669,4,661,671,"[661, 663, 669, 671]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
3,143,269,413,4,269,413,"[269, 285, 397, 413]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
4,79,664,744,4,664,744,"[664, 680, 728, 744]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
5,231,131,363,4,131,363,"[131, 171, 323, 363]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
6,263,205,469,4,205,469,"[205, 213, 461, 469]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
7,239,198,438,4,198,438,"[198, 246, 390, 438]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
8,327,0,328,4,0,328,"[0, 8, 320, 328]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
9,423,54,478,4,30,502,"[30, 54, 478, 502]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
10,14,613,628,4,612,629,"[612, 613, 628, 629]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
11,207,102,310,4,102,310,"[102, 118, 294, 310]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
12,407,60,468,4,20,508,"[20, 60, 468, 508]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
13,39,543,583,4,519,607,"[519, 543, 583, 607]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
14,167,515,683,4,515,683,"[515, 555, 643, 683]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
15,223,570,794,4,538,826,"[538, 570, 794, 826]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
16,128,588,717,4,588,717,"[588, 589, 716, 717]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
17,197,217,415,4,217,415,"[217, 223, 409, 415]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
18,131,665,797,4,665,797,"[665, 669, 793, 797]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
19,67,129,197,4,129,197,"[129, 133, 193, 197]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
20,56,132,189,4,132,189,"[132, 133, 188, 189]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
21,321,145,467,4,145,467,"[145, 147, 465, 467]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
22,159,634,794,4,602,826,"[602, 634, 794, 826]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
23,65,625,691,4,625,691,"[625, 627, 689, 691]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
24,126,341,468,4,340,469,"[340, 341, 468, 469]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
25,30,341,372,4,340,373,"[340, 341, 372, 373]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
26,23,371,395,4,331,435,"[331, 371, 395, 435]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
27,79,70,150,4,70,150,"[70, 86, 134, 150]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
28,126,181,308,4,180,309,"[180, 181, 308, 309]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
29,19,164,184,4,160,188,"[160, 164, 184, 188]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
30,543,263,807,4,263,807,"[263, 295, 775, 807]","[1.0, 1.0, 1.0, 1.0]",1.0,0,5,3
