,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,610,87,698,32,82,703,"[82, 83, 86, 87, 122, 123, 126, 127, 146, 147, 150, 151, 186, 187, 190, 191, 594, 595, 598, 599, 634, 635, 638, 639, 658, 659, 662, 663, 698, 699, 702, 703]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
1,564,51,616,32,40,627,"[40, 41, 42, 43, 48, 49, 50, 51, 104, 105, 106, 107, 112, 113, 114, 115, 552, 553, 554, 555, 560, 561, 562, 563, 616, 617, 618, 619, 624, 625, 626, 627]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
2,528,121,650,32,72,699,"[72, 73, 74, 75, 120, 121, 122, 123, 136, 137, 138, 139, 184, 185, 186, 187, 584, 585, 586, 587, 632, 633, 634, 635, 648, 649, 650, 651, 696, 697, 698, 699]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
3,478,282,761,32,216,827,"[216, 217, 218, 219, 248, 249, 250, 251, 280, 281, 282, 283, 312, 313, 314, 315, 728, 729, 730, 731, 760, 761, 762, 763, 792, 793, 794, 795, 824, 825, 826, 827]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
4,354,174,529,32,16,687,"[16, 17, 22, 23, 40, 41, 46, 47, 144, 145, 150, 151, 168, 169, 174, 175, 528, 529, 534, 535, 552, 553, 558, 559, 656, 657, 662, 663, 680, 681, 686, 687]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
5,434,225,660,32,144,741,"[144, 145, 148, 149, 160, 161, 164, 165, 208, 209, 212, 213, 224, 225, 228, 229, 656, 657, 660, 661, 672, 673, 676, 677, 720, 721, 724, 725, 736, 737, 740, 741]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
6,634,146,781,32,138,789,"[138, 139, 140, 141, 146, 147, 148, 149, 266, 267, 268, 269, 274, 275, 276, 277, 650, 651, 652, 653, 658, 659, 660, 661, 778, 779, 780, 781, 786, 787, 788, 789]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
7,420,175,596,32,84,687,"[84, 85, 86, 87, 108, 109, 110, 111, 148, 149, 150, 151, 172, 173, 174, 175, 596, 597, 598, 599, 620, 621, 622, 623, 660, 661, 662, 663, 684, 685, 686, 687]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
8,440,269,710,32,196,783,"[196, 197, 198, 199, 204, 205, 206, 207, 260, 261, 262, 263, 268, 269, 270, 271, 708, 709, 710, 711, 716, 717, 718, 719, 772, 773, 774, 775, 780, 781, 782, 783]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
9,632,137,770,32,128,779,"[128, 129, 130, 131, 136, 137, 138, 139, 256, 257, 258, 259, 264, 265, 266, 267, 640, 641, 642, 643, 648, 649, 650, 651, 768, 769, 770, 771, 776, 777, 778, 779]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
