,t_12,t_23,n_frac_times,t_frac,bank_id,r_first,r_second,s_id,majX,avg_coverage,full_coverage_cells,avg_stability,full_stable_cells
0,2,1,3,0,0,94,349,0,3,66.666667,0.0,75.090625,0.0
0,2,1,3,0,0,753,818,0,3,50.0,0.0,49.99375,0.0
0,2,1,3,0,0,154,810,0,3,50.0,0.0,49.725,0.0
0,2,1,3,0,0,203,735,0,3,50.0,0.0,49.859375,0.0
0,2,1,3,0,0,690,821,0,3,50.0,0.0,49.909375,0.0
0,2,1,3,0,0,10,17,0,3,66.666667,0.0,74.84375,0.0
0,2,1,3,0,0,691,799,0,3,66.666667,0.0,74.909375,0.0
0,2,1,3,0,0,361,413,0,3,66.666667,0.0,75.13125,0.0
0,2,1,3,0,0,53,145,0,3,66.666667,0.0,74.890625,0.0
0,2,1,3,0,0,7,639,0,3,50.0,0.0,49.909375,0.0
0,2,1,3,0,0,140,782,0,3,50.0,0.0,50.071875,0.0
0,2,1,3,0,0,277,327,0,3,66.666667,0.0,75.01875,0.0
0,2,1,3,0,0,162,246,0,3,50.0,0.0,49.890625,0.0
0,2,1,3,0,0,337,370,0,3,50.0,0.0,50.3125,0.0
0,2,1,3,0,0,367,501,0,3,50.0,0.0,50.05,0.0
0,2,1,3,0,0,620,642,0,3,66.666667,0.0,74.971875,0.0
0,2,1,3,0,0,577,731,0,3,50.0,0.0,50.159375,0.0
0,2,1,3,0,0,711,760,0,3,66.666667,0.0,75.15625,0.0
0,2,1,3,0,0,175,469,0,3,66.666667,0.0,74.865625,0.0
0,2,1,3,0,0,60,70,0,3,66.666667,0.0,75.228125,0.0
0,2,1,3,0,0,37,183,0,3,50.0,0.0,50.0875,0.0
0,2,1,3,0,0,147,197,0,3,66.666667,0.0,75.05,0.0
0,2,1,3,0,0,535,585,0,3,66.666667,0.0,75.021875,0.0
0,2,1,3,0,0,115,445,0,3,50.0,0.0,50.46875,0.0
0,2,1,3,0,0,127,609,0,3,66.666667,0.0,74.884375,0.0
0,2,1,3,0,0,26,512,0,3,66.666667,0.0,75.3875,0.0
0,2,1,3,0,0,1,499,0,3,50.0,0.0,49.678125,0.0
0,2,1,3,0,0,750,824,0,3,50.0,0.0,49.70625,0.0
0,2,1,3,0,0,374,448,0,3,66.666667,0.0,75.275,0.0
0,2,1,3,0,0,370,400,0,3,66.666667,0.0,74.45625,0.0
0,2,1,3,0,0,142,676,0,3,50.0,0.0,50.090625,0.0
0,2,1,3,0,0,531,615,0,3,50.0,0.0,50.103125,0.0
0,2,1,3,0,0,369,411,0,3,66.666667,0.0,75.290625,0.0
0,2,1,3,0,0,105,749,0,3,50.0,0.0,49.90625,0.0
0,2,1,3,0,0,641,725,0,3,50.0,0.0,49.74375,0.0
0,2,1,3,0,0,30,298,0,3,50.0,0.0,50.396875,0.0
0,2,1,3,0,0,121,496,0,3,66.666667,0.0,75.0125,0.0
