,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,322,122,445,8,122,445,"[122, 123, 124, 125, 442, 443, 444, 445]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
1,514,12,527,8,12,527,"[12, 13, 14, 15, 524, 525, 526, 527]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
2,104,38,143,8,14,167,"[14, 15, 38, 39, 142, 143, 166, 167]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
3,69,707,777,8,705,779,"[705, 707, 713, 715, 769, 771, 777, 779]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
4,59,674,734,8,666,742,"[666, 670, 674, 678, 730, 734, 738, 742]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
5,514,88,603,8,88,603,"[88, 89, 90, 91, 600, 601, 602, 603]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
6,307,518,826,8,514,830,"[514, 518, 570, 574, 770, 774, 826, 830]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
7,225,553,779,8,521,811,"[521, 523, 553, 555, 777, 779, 809, 811]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
8,91,0,92,8,0,92,"[0, 4, 24, 28, 64, 68, 88, 92]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
9,58,103,162,8,98,167,"[98, 99, 102, 103, 162, 163, 166, 167]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
10,10,219,230,8,218,231,"[218, 219, 222, 223, 226, 227, 230, 231]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
11,64,539,604,8,538,605,"[538, 539, 540, 541, 602, 603, 604, 605]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
12,415,104,520,8,8,616,"[8, 40, 72, 104, 520, 552, 584, 616]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
13,203,306,510,8,306,510,"[306, 310, 314, 318, 498, 502, 506, 510]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
14,86,537,624,8,536,625,"[536, 537, 560, 561, 600, 601, 624, 625]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
15,14,524,539,8,522,541,"[522, 523, 524, 525, 538, 539, 540, 541]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,0
